Source_ID,RA(J2000),DEC(J2000),Source_Type,F100,e_F100,F131.25,e_F131.25,F143.75,e_F143.75,F156.25,e_F156.25,F168.75,e_F168.75,Spectral_Index,e_Spectral_Index
21CMA-DDR1-J214036+853822,21:40:36.22,+85:38:21.9,P,0.140490267330255,0.0271024888317034,0.1548807546951794,0.0175163101984116,0.1581128385622944,0.0182389846085014,0.1236698509052053,0.0157700840193819,0.1196966461381257,0.0198611727208008,-0.4094500254772304,0.4294772822240681
21CMA-DDR1-J203315+864856,20:33:15.17,+86:48:56.3,P,0.3031027166442919,0.0130674719224206,0.2115699325164256,0.0088037152581597,0.1929346075814083,0.0059867257121528,0.1898103012573286,0.0080490972817074,0.1705270663103511,0.0068277312226485,-1.0789401507933956,0.1039996934664245
21CMA-DDR1-J153158+865151,15:31:58.44,+86:51:50.6,P,0.0757061551447152,0.0200968405333247,0.0624731825416339,0.0092070756634377,0.0650368788601294,0.00638062546447,0.0573201323808807,0.0099193535667668,0.0581848420537609,0.0051286847204255,-0.4776075482241885,0.439239107980869
21CMA-DDR1-J155155+870201,15:51:54.70,+87:02:01.0,P,0.0706535119423512,0.012796124164979,0.0868561199487801,0.0068664751338392,0.0793875633647943,0.004670468027752,0.0751605354756197,0.0059593738563899,0.0676987676221607,0.0038985747777408,-0.5217309893294396,0.2792947259994863
21CMA-DDR1-J151326+863751,15:13:25.83,+86:37:51.4,P,,,,,0.0295444455308248,0.0081517664101611,0.0268752550093508,0.0084117886155756,0.0230937362073499,0.0048785884962444,-1.5580767275317626,2.154694754715094
21CMA-DDR1-J141737+852943,14:17:37.16,+85:29:43.5,P,1.639358520672042,0.0341704699267327,1.1682124207504585,0.0263643902375887,1.2225665679332445,0.0248887694472977,1.1074412505048885,0.0272855902503559,0.8261791422823976,0.0177166805211295,-1.1346969098876745,0.052689572096426
21CMA-DDR1-J144326+860507,14:43:25.85,+86:05:07.2,P,0.3713290614419353,0.0124595073506985,0.2608633569559968,0.0079267796633028,0.2120266360245372,0.0077977856333327,0.1603119381511373,0.0078559524290776,0.1699093674243859,0.0068575546354085,-1.6035542636407685,0.0903537040391532
21CMA-DDR1-J153116+864701,15:31:15.81,+86:47:00.7,P,0.0610283091923275,0.0151326616275896,0.0576885855015878,0.0089079965514089,0.0550290574257712,0.0062715248999355,0.0462511830131934,0.0123846954684157,0.0479367276446804,0.0045479101286229,-0.5768758854687601,0.4422462597769684
21CMA-DDR1-J200953+865758,20:09:53.11,+86:57:58.0,P,,,0.0429433857571888,0.0103936818538443,0.040450902180642,0.0103823303216685,,,0.0274457048046312,0.0084497368147222,-1.7935325972513567,1.5578092451551455
21CMA-DDR1-J161902+870953,16:19:02.13,+87:09:52.9,P,,,,,0.033472381119575,0.0079922406289313,0.0390355800006863,0.0081842197971557,0.0275770215530477,0.0048042386363687,-1.4897955994314047,1.8215608442001692
21CMA-DDR1-J204342+863523,20:43:42.38,+86:35:23.2,P,1.6332944840339227,0.0421400071089994,1.1570999173627374,0.0382243287936228,1.0872156469627654,0.0274992303426597,0.9497842519026138,0.0357049767175467,0.7240293506482501,0.0238932613166499,-1.3844419454762984,0.0703328714354868
21CMA-DDR1-J201845+865159,20:18:44.58,+86:51:58.9,P,0.6255617327389509,0.0142088154761026,0.4663541128127959,0.011270150357706,0.4357682950243823,0.0106379268232976,0.3926961875802174,0.0157894637898088,0.3368434334156723,0.0142916895507172,-1.0824595473625174,0.0692326861592233
